Student ID,Gender,Age,Attendance Percentage,Study Hours Per Week,Assignment Score,Midterm Score,Final Score,Parental Education,Internet Access,Extra Activities
S0064,Female,18,92.8,10.4,46.7,62.5,72.3,masters,YES,N
S0061,Female,18,49.9,1.0,34.3,26.9,38.9,Bachelor's Degree,Yes,No
S0005,Female,19,83.0,17.9,54.3,95.5,51.7,phd,Yes,N
S0097,Male,15,55.5,10.8,81.8,82.1,61.3,Associate Degree,No,NO
S0177,Female,21,53.4,16.8,79.4,58.2,56.8,High School,NO,yes
S0200,Male,21,52.8,14.8,85.0,76.0,89.0,Bachelor's Degree,No,no
S0150,Female,16,75.1,6.8,54.7,60.1,97.8,bachelors,NO,No
S0141,Female,21,80.8,16.2,39.4,62.7,63.0,Associate Degree,NO,No
S0176,Female,17,40.9,14.7,81.6,37.3,41.6,masters,NO,YES
S0012,Female,21,86.9,15.3,63.5,38.4,84.2,high school,NO,Y
S0149,Female,20,49.0,4.9,92.2,75.4,55.4,bachelors,YES,YES
S0047,Female,20,43.9,5.8,47.2,64.5,73.7,Associate Degree,NO,N
S0110,Female,17,47.2,12.3,96.9,63.5,45.1,Bachelors Degree,YES,yes
S0161,Female,16,92.7,3.3,64.1,35.2,57.1,Bachelor's Degree,No,yes
S0181,Female,16,84.8,3.1,41.3,54.5,27.7,High School,YES,No
S0066,Female,21,46.4,4.9,37.8,27.6,88.6,masters,Yes,YES
S0126,Female,16,73.7,7.9,65.0,47.3,29.9,PhD,Yes,no
S0178,Female,18,49.1,16.2,98.6,54.4,27.5,bachelors,No,YES
S0042,Female,18,62.8,15.6,51.6,85.3,31.6,Bachelors Degree,No,NO
S0116,Male,21,63.4,7.8,71.6,51.3,96.1,masters,Yes,no
S0140,Female,17,98.1,4.9,82.5,41.6,87.8,masters,Yes,no
S0049,Female,15,89.1,8.8,56.0,71.6,30.8,High School,no,N
S0068,Male,21,40.1,4.8,83.4,98.3,25.3,Bachelors Degree,Yes,N
S0077,Male,21,67.44999999999999,11.0,45.3,85.1,54.4,Master's Degree,No,yes
